entity_id,name_bn,name_en,acronym,founded_year,current_head_bn,ideology_summary_bn,wiki_image_url,category
pol_35,বাংলাদেশ মুক্তিযোদ্ধা লীগ,Bangladesh Muktijoddha League,BML,1972,,বাংলাদেশ মুক্তিযোদ্ধা লীগ মুক্তিযোদ্ধাদের অধিকার সংরক্ষণ ও মুক্তিযুদ্ধের চেতনা বাস্তবায়নের লক্ষ্যে গঠিত একটি দল।,,Political Parties
pol_36,বাংলাদেশ জাতীয়তাবাদী সমাজতান্ত্রিক দল (বিএনএসপি),Bangladesh Nationalistic Socialist Party,BNSP,1983,,বাংলাদেশ জাতীয়তাবাদী সমাজতান্ত্রিক দল জাতীয়তাবাদ ও সমাজতন্ত্রের মিশ্রণে রাজনীতি করে।,,Political Parties
pol_37,সাম্যবাদী দল,Samyabadi Dal,SD,1967,দিলীপ বড়ুয়া,সাম্যবাদী দল মার্কসবাদী আদর্শভিত্তিক একটি ছোট বামপন্থী দল যা শ্রমজীবী মানুষের অধিকার ও শ্রেণিমুক্তির পক্ষে কাজ করে।,,Political Parties
pol_38,বাংলাদেশ মানবাধিকার পার্টি,Bangladesh Manabadhikar Party,BMP,2005,,"বাংলাদেশ মানবাধিকার পার্টি সর্বজনীন মানবাধিকার প্রতিষ্ঠা, গণতন্ত্র সংরক্ষণ ও নাগরিক স্বাধীনতা নিশ্চিত করার লক্ষ্যে রাজনীতি করে।",,Political Parties
pol_39,বাংলাদেশ ইসলামি দল,Bangladesh Islami Dal,BID,1979,,বাংলাদেশ ইসলামি দল ইসলামি শাসনব্যবস্থা প্রতিষ্ঠা ও ইসলামি নৈতিকতার ভিত্তিতে সমাজ গড়ার পক্ষে রাজনীতি করে।,,Political Parties
pol_40,বাংলাদেশ জাতীয় লীগ,Bangladesh Jatiya League,BJL,1968,,বাংলাদেশ জাতীয় লীগ একটি পুরনো জাতীয়তাবাদী দল যা বাঙালি জাতিসত্তার বিকাশ ও সাংস্কৃতিক স্বাধীনতার পক্ষে রাজনীতি করে।,,Political Parties
pol_41,জাতীয় গণফ্রন্ট,Jatiya Gana Front,JGF,1985,নুরুল আমিন বাচ্চু,জাতীয় গণফ্রন্ট একটি বামপন্থী রাজনৈতিক সংগঠন যা গণতান্ত্রিক আন্দোলনে অংশগ্রহণ করে এবং জনগণের অধিকার প্রতিষ্ঠায় কাজ করে।,,Political Parties
pol_42,প্রগতিশীল জাতীয়তাবাদী দল,Progressive Nationalist Party,PNP,1975,,প্রগতিশীল জাতীয়তাবাদী দল একটি মধ্যপন্থী দল যা বাংলাদেশি জাতীয়তাবাদ ও প্রগতিশীল সামাজিক মূল্যবোধকে একত্রিত করে রাজনীতি করে।,,Political Parties
pol_43,বাংলাদেশ কংগ্রেস,Bangladesh Congress,BC,2017,একেএম মিজানুল হক,"বাংলাদেশ কংগ্রেস একটি নতুন কেন্দ্রমুখী দল যা অন্তর্ভুক্তিমূলক রাজনীতি, সুশাসন ও সামাজিক উন্নয়নের পক্ষে কাজ করে।",,Political Parties
pol_44,গণতন্ত্রী পার্টি,Ganotantri Party,GP,1983,,গণতন্ত্রী পার্টি বাংলাদেশে সংসদীয় গণতন্ত্র ও আইনের শাসন প্রতিষ্ঠার পক্ষে কাজ করা একটি ছোট কেন্দ্রপন্থী দল।,,Political Parties
pol_45,জাতীয় পার্টি (নাজিউর),Jatiya Party (Naziur),JP-N,2005,নাজিউর রহমান মঞ্জু,জাতীয় পার্টির আরেকটি অংশ যা নাজিউর রহমান মঞ্জুর নেতৃত্বে পরিচালিত। মূল দলের মতো কেন্দ্রপন্থী জাতীয়তাবাদী রাজনীতি করে।,,Political Parties
pol_46,বাংলাদেশ পিপলস লীগ,Bangladesh Peoples League,BPL,1994,,বাংলাদেশ পিপলস লীগ একটি কেন্দ্রপন্থী দল যা জনগণের অধিকার ও গণতান্ত্রিক মূল্যবোধের ভিত্তিতে রাজনীতি পরিচালনা করে।,,Political Parties
pol_47,জাতীয় নাগরিক পার্টি,National Citizen Party,NCP,2025,নাহিদ ইসলাম,"জাতীয় নাগরিক পার্টি ২০২৪ সালের জুলাই-আগস্ট গণআন্দোলনের নেতাদের দ্বারা গঠিত একটি তরুণ রাজনৈতিক দল। দলটি গণতান্ত্রিক সংস্কার, দুর্নীতিমুক্ত রাষ্ট্র ও নতুন প্রজন্মের নেতৃত্বের প্রতিশ্রুতি নিয়ে কাজ করছে।",,Political Parties
pol_48,বাংলাদেশ আইনজীবী পরিষদ,Bangladesh Ainjibi Parishad,BAP,1980,,আইনজীবীদের পেশাদার সংগঠন হিসেবে গঠিত হলেও এটি রাজনৈতিক কার্যক্রমে যুক্ত। দলটি সংবিধানের শাসন ও আইনের শাসন প্রতিষ্ঠার পক্ষে।,,Political Parties
